date,open,close,high,low,volume
2024-01-02,7.87,7.99,8.03,7.83,78726
2024-01-03,7.96,8.05,8.06,7.94,63101
2024-01-04,8.08,7.96,8.11,7.92,58092
2024-01-05,7.93,7.86,8.02,7.79,56753
2024-01-08,7.82,7.65,7.86,7.64,49054
2024-01-09,7.65,7.63,7.71,7.54,54704
2024-01-10,7.62,7.7,7.75,7.54,49391
2024-01-11,7.67,7.73,7.78,7.64,47120
2024-01-12,7.73,7.85,7.95,7.71,72621
2024-01-15,7.82,7.75,7.9,7.74,45098
2024-01-16,7.74,7.69,7.79,7.59,51049
2024-01-17,7.7,7.49,7.7,7.48,51529
2024-01-18,7.49,7.34,7.49,7.09,105366
2024-01-19,7.32,7.27,7.38,7.19,56393
2024-01-22,7.26,6.84,7.26,6.78,68595
2024-01-23,6.83,7.03,7.05,6.74,94475
2024-01-24,7.0,7.1,7.11,6.8,71071
2024-01-25,7.11,7.47,7.48,7.1,88833
2024-01-26,7.5,7.58,7.7,7.42,76815
2024-01-29,7.58,7.41,7.63,7.38,63809
2024-01-30,7.4,7.17,7.46,7.12,67024
2024-01-31,7.17,6.97,7.34,6.94,74678
2024-02-01,6.93,6.81,7.04,6.78,86523
2024-02-02,6.83,6.43,6.92,6.27,112193
2024-02-05,6.46,5.96,6.5,5.82,129209
2024-02-06,5.9,6.46,6.49,5.83,134732
2024-02-07,6.48,6.79,6.83,6.38,158061
2024-02-08,6.81,7.1,7.23,6.81,176597
2024-02-19,7.23,7.11,7.27,7.01,105048
2024-02-20,7.11,7.01,7.11,6.97,92905
2024-02-21,7.01,7.1,7.27,6.92,97126
2024-02-22,7.1,7.17,7.22,7.05,69962
2024-02-23,7.16,7.21,7.27,7.11,76796
2024-02-26,7.19,7.18,7.31,7.12,84596
2024-02-27,7.12,7.28,7.29,7.08,70414
2024-02-28,7.36,7.14,7.6,7.14,145243
2024-02-29,7.11,7.45,7.45,7.06,116017
2024-03-01,7.54,7.43,7.65,7.34,115404
2024-03-04,7.43,7.33,7.46,7.22,81403
2024-03-05,7.32,7.24,7.37,7.22,66140
2024-03-06,7.26,7.45,7.5,7.24,100169
2024-03-07,7.45,7.31,7.51,7.28,76510
2024-03-08,7.37,7.39,7.44,7.29,57495
2024-03-11,7.4,7.58,7.58,7.4,106267
2024-03-12,7.65,7.46,7.65,7.41,113869
2024-03-13,7.46,7.49,7.53,7.4,66926
2024-03-14,7.49,7.4,7.5,7.34,59221
2024-03-15,7.39,7.44,7.47,7.34,64428
2024-03-18,7.43,7.56,7.57,7.43,100727
2024-03-19,7.56,7.49,7.6,7.47,66836
2024-03-20,7.49,7.47,7.52,7.41,67491
2024-03-21,7.51,7.37,7.51,7.29,89808
2024-03-22,7.35,7.19,7.39,7.16,84871
2024-03-25,7.14,7.06,7.22,7.06,68568
2024-03-26,7.09,7.19,7.2,7.04,61565
2024-03-27,7.21,6.91,7.25,6.91,67698
2024-03-28,6.86,6.98,7.07,6.86,63718
2024-03-29,6.98,7.05,7.11,6.97,49358
2024-04-01,7.07,7.14,7.19,7.07,57313
2024-04-02,7.16,7.18,7.22,7.13,53036
2024-04-03,7.24,7.16,7.24,7.09,46958
2024-04-08,7.16,7.17,7.24,7.08,77959
2024-04-09,7.12,7.26,7.27,7.05,69988
2024-04-10,7.17,7.2,7.34,7.17,93209
2024-04-11,7.1,7.33,7.37,7.06,118574
2024-04-12,7.32,7.09,7.33,7.06,104403
2024-04-15,7.08,7.05,7.19,6.9,98446
2024-04-16,6.94,6.67,7.04,6.64,145418
2024-04-17,6.72,7.16,7.17,6.7,134898
2024-04-18,7.24,6.95,7.24,6.93,119789
2024-04-19,6.89,6.87,7.04,6.83,76839
2024-04-22,6.83,6.86,6.95,6.79,64472
2024-04-23,6.87,6.78,6.92,6.75,59902
